state size: 2
action size: 2
/content/Reinforcement-Learning-Pytorch-Cartpole/POMDP/1-DRQN/model.py:20: UserWarning: nn.init.xavier_uniform is now deprecated in favor of nn.init.xavier_uniform_.
  nn.init.xavier_uniform(m.weight)
5140 episode | score: 23.23 | epsilon: 0.10
5150 episode | score: 23.13 | epsilon: 0.10
5160 episode | score: 22.71 | epsilon: 0.10
5170 episode | score: 22.04 | epsilon: 0.10
5180 episode | score: 21.67 | epsilon: 0.10
5190 episode | score: 21.27 | epsilon: 0.10
5200 episode | score: 21.08 | epsilon: 0.10
5210 episode | score: 20.72 | epsilon: 0.10
5220 episode | score: 20.31 | epsilon: 0.10
5230 episode | score: 20.15 | epsilon: 0.10
5240 episode | score: 20.27 | epsilon: 0.10
5250 episode | score: 20.24 | epsilon: 0.10
5260 episode | score: 20.09 | epsilon: 0.10
5270 episode | score: 19.95 | epsilon: 0.10
5280 episode | score: 19.79 | epsilon: 0.10
5290 episode | score: 19.80 | epsilon: 0.10
5300 episode | score: 19.99 | epsilon: 0.10
5310 episode | score: 20.14 | epsilon: 0.10
5320 episode | score: 20.64 | epsilon: 0.10
5330 episode | score: 20.95 | epsilon: 0.10
5340 episode | score: 21.16 | epsilon: 0.10
5350 episode | score: 22.34 | epsilon: 0.10
5360 episode | score: 22.62 | epsilon: 0.10
5370 episode | score: 23.28 | epsilon: 0.10
5380 episode | score: 24.05 | epsilon: 0.10
5390 episode | score: 24.65 | epsilon: 0.10
5400 episode | score: 24.27 | epsilon: 0.10
5410 episode | score: 24.25 | epsilon: 0.10
5420 episode | score: 23.97 | epsilon: 0.10
5430 episode | score: 23.87 | epsilon: 0.10
5440 episode | score: 24.07 | epsilon: 0.10
5450 episode | score: 23.56 | epsilon: 0.10
5460 episode | score: 22.94 | epsilon: 0.10
5470 episode | score: 23.00 | epsilon: 0.10
5480 episode | score: 23.00 | epsilon: 0.10
5490 episode | score: 22.86 | epsilon: 0.10
5500 episode | score: 24.18 | epsilon: 0.10
5510 episode | score: 24.80 | epsilon: 0.10
